Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
395,tweet_eval_emoji_14,23.00888889,4223,5,61,9.147932246,8.353228345,569.3046395,0,0,1.233444076,14,7.250724334,0.88,14,0.6,0.7,Nan,0.77
396,tweet_eval_emoji_4,23.48,4348,5,55,3.876929609,14.73682733,4401.399096,0,0,1.532915311,4,2.305727111,1,4,0.59,0.8,Nan,0.69
397,yelp_review_full,179.6066667,8895,7,1355,4.324827493,12.81863521,2868.169627,0,0,-0.570581021,5,2.614801853,0.86,5,0.71,0.96,Nan,0.67
398,dbpedia,66.35666667,9673,9,228,7.907071678,7.66950566,522.7063088,0,0,-0.537587202,14,3.252022519,0.98,14,0.32,0.39,Nan,0.13
399,tweet_eval_emoji_5,23.21666667,4303,6,67,4.547529662,12.96289978,2900.448827,3.037311318,2,1.112907717,5,3.119604936,0.81,5,0.45,0.64,Nan,0.76
400,banking77__10,16.37444444,1073,6,71,6.52481474,9.092561181,899.1532723,0,0,-0.766130878,10,2.106805293,0.96,10,0.9,0.95,0.97,0.79
401,banking77__4,16.25333333,1121,6,70,3.831836643,14.30943538,4273.751366,3.08887101,2,0,4,1.013745541,0.74,4,0.85,0.93,Nan,0.7
402,dbpedia,66.18777778,9658,10,267,7.850344103,7.805632369,531.9838676,0,0,0.113046684,14,2.426160883,0.96,14,0.32,0.37,0.6,0.11
403,tweet_eval_emoji_2,23.28888889,4237,5,53,2.514240888,20.39853178,18317.88154,0,0,0,2,1,1,2,0.45,0.59,Nan,0.3
404,banking77__2,16.65333333,1095,5,80,2.719270692,18.52882599,16638.88574,0,0,0,2,1,1,2,0.8,0.79,Nan,0.5
405,tweet_eval_emoji_2,23.24444444,4277,5,46,2.524540562,20.82840011,18703.9033,0,0,0,2,1,1,2,0.41,0.6,Nan,0.3
406,amazon_review_full,98.34555556,8973,16,340,4.394352279,12.83248927,2871.269473,0,0,1.48939916,5,3.177870037,0.85,5,0.78,0.98,Nan,0.69
407,dbpedia,65.38666667,9419,12,237,7.883042835,7.724376868,526.4459927,0,0,-0.107051865,14,1.673527018,0.96,14,0.35,0.45,0.63,0.13
408,tweet_eval_emoji_4,22.97333333,4156,5,61,3.867440029,14.99717339,4479.155785,0,0,0.206223318,4,2,0.99,4,0.52,0.75,Nan,0.71
409,banking77__10,16.53444444,1094,5,69,6.359651963,9.325782319,922.2162515,0,0,-0.946582114,10,1.676961782,0.91,10,0.89,0.94,Nan,0.8
410,tweet_eval_emoji_4,22.88333333,4173,5,54,3.898358073,14.63952523,4372.338201,0,0,1.467499229,4,2.227189504,1,4,0.53,0.74,Nan,0.7
411,tweet_eval_emoji_4,22.60222222,4214,5,62,3.689219285,15.31471544,4573.995011,0,0,0.725818012,4,1.882883287,1,4,0.6,0.75,Nan,0.67
412,banking77__4,16.45555556,1171,5,83,3.870882401,14.07116046,4202.58659,0,0,1.03086479,4,1.914321414,0.99,4,0,0,Nan,0.65
413,banking77__10,16.60111111,1145,6,95,6.458654181,9.186911217,908.4834426,0,0,0.218797487,10,2.789588049,0.94,10,0.89,0.89,0.94,0.84
414,banking77__4,16.34888889,1074,5,75,3.878888995,13.94637418,4165.317088,0,0,0.525328433,4,1.74060191,0.74,4,0.87,0.96,Nan,0.69
415,tweet_eval_emoji_2,22.41444444,4153,6,52,2.573104235,20.34699574,18271.60217,0,0,0,2,1,1,2,0.4,0.57,Nan,0.27
416,yelp_review_full,189.0422222,9237,8,1229,4.453522867,12.35096495,2763.528408,0,0,-0.534522484,5,2.376039305,0.84,5,0.69,0.97,Nan,0.79
417,tweet_eval_emoji_14,23.05666667,4157,6,56,9.01384511,8.239020763,561.5209535,0,0,0.927632964,14,4.679302869,0.88,14,0.57,0.75,Nan,0.78
418,banking77__5,16.13,1105,5,89,4.56095682,12.2554538,2742.157787,0,0,1.62405659,5,1.25732584,0.84,5,0.87,0.94,0.87,0.78
419,ag_news,45.97333333,7370,10,306,4.068584659,13.84575776,4135.266318,0,0,0.289177616,4,1.093510099,0.86,4,0.7,0.68,Nan,0.23
420,yelp_review_full,189.64,9101,8,1819,4.349694389,12.79974111,2863.942073,0,0,-0.31835727,5,1.828280984,0.85,5,0.63,0.93,0,0
421,tweet_eval_emoji_14,22.52555556,4166,5,55,9.444835298,8.568444151,583.9724245,2.689467311,2,0.913691247,14,7.031162612,0.88,14,0.58,0.71,Nan,0.75
422,banking77__14,16.49444444,1123,5,89,7.801430428,7.81188815,532.4102232,3.007949467,2,-0.420469325,14,3.286113721,0.92,14,0.9,0.94,0.96,0.86
423,banking77__14,16.12222222,1104,5,80,7.840002647,7.7392244,527.4579091,0,0,0.478720394,14,3.625446534,0.93,14,0.91,0.91,0.95,0.8
424,tweet_eval_emoji_4,22.78222222,4116,5,51,3.985661223,14.41627015,4305.659352,0,0,0.558525645,4,1.797900451,1,4,0.4,0.69,Nan,0.54
425,tweet_eval_emoji_2,22.86111111,4137,5,50,2.682120514,19.09160554,17144.26178,3.492421805,2,0,2,1,1,2,0.62,0.31,,
426,ag_news,45.58666667,7319,11,195,3.876190538,14.44293703,4313.62386,0,0,0.316227766,4,1.834074074,0.81,4,0.57,0.6,0.53,0.17
427,dbpedia,67.13888889,9506,9,164,7.888780665,7.758302774,528.7581736,0,0,0.266059827,14,2.973132529,0.91,14,0.36,0.36,0.64,0.11
428,tweet_eval_emoji_14,22.95333333,4234,5,48,9.220421177,8.239784742,561.5730217,0,0,0.962742611,14,5.814959597,0.88,14,0.62,0.67,,
429,banking77__5,15.97222222,1092,4,75,4.373076961,12.85464282,2876.226331,0,0,-0.625845656,5,1.599626247,0.85,5,0.9,0.91,0.89,0.82
430,amazon_review_polarity,98.01111111,8941,22,397,2.567496692,19.68188864,17674.336,0,0,0,2,1,0.7,2,0.53,0.78,0.93,0.31
431,amazon_review_polarity,103.2777778,9117,20,418,2.497818053,19.94009336,17906.20384,0,0,0,2,1,0.74,2,0.61,0.75,Nan,0.36
432,banking77__14,17.11777778,1139,6,85,7.812414917,7.856844034,535.4741396,0,0,-0.338141571,14,2.42998152,0.95,14,0.89,0.92,Nan,0.82
433,banking77__4,16.61666667,1099,6,70,3.855787934,14.30449702,4272.276443,0,0,-1.430193884,4,2.285619835,0.95,4,0.88,0.91,Nan,0.78
434,amazon_review_polarity,97.11666667,8867,18,257,2.565735603,19.52637735,17534.68686,0,0,0,2,1,0.66,2,0.44,0.66,Nan,0.34
435,banking77__10,16.56888889,1140,6,98,6.347317294,9.266550219,916.358855,0,0,-0.146664639,10,3.254261888,0.96,10,0.89,0.93,Nan,0.81
436,tweet_eval_emoji_14,23.23444444,4196,5,62,9.331534721,8.454060742,576.1767552,0,0,0.863399381,14,6.806945976,0.88,14,0.59,0.67,Nan,0.72
437,dbpedia,65.72444444,9509,10,148,7.837445933,7.777260865,530.0502405,0,0,-0.275194616,14,1.898922502,0.94,14,0.36,0.37,0.64,0.11
438,tweet_eval_emoji_5,23.21777778,4290,5,52,4.465672718,13.0702491,2924.468236,0,0,1.239130435,5,2.876412141,0.81,5,0.6,0.74,Nan,0.7
439,tweet_eval_emoji_10,23.24888889,4194,5,54,6.901180582,9.670201933,956.2755245,0,0,1.195110832,10,3.789044385,0.96,10,0.53,0.64,0.69,0.69
440,banking77__10,16.33111111,1093,5,69,6.359983574,9.292768112,918.9515133,0,0,0.422577127,10,1.51698814,0.91,10,0.88,0.92,Nan,0.88
